specialmove
motor2 0.00 -61.52 -128.32 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.61
motor2 0.00 -61.82 -128.32 0.00 -70.31 -123.93
motor1 0.00 -79.69 -125.39 0.00 -62.40 -128.61
motor2 0.00 -61.52 -128.32 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.61
motor2 0.00 -61.52 -128.32 -0.88 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.61
motor2 0.29 -61.82 -128.32 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.61
motor2 0.29 -61.82 -128.32 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.61
motor2 0.00 -61.52 -128.32 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.61
motor2 0.00 -61.82 -128.32 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.61
motor2 0.00 -61.52 -128.32 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.61
motor2 0.00 -61.82 -128.32 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.61
motor2 0.00 -61.82 -128.32 0.00 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.32
motor2 0.00 -61.82 -128.61 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.61
motor2 0.00 -61.82 -128.32 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.32
motor2 0.29 -61.52 -128.32 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.32
motor2 0.29 -61.82 -128.32 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.32
motor2 0.29 -61.82 -128.32 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.32
motor2 0.29 -61.52 -128.32 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -63.28 -128.03
